TERM,TERM_REDUCED,PHRASE,DOCUMENT,FREQ
heartbeat:0:interval,interval heartbeat,heartbeat interval ,A Study of Timing Constraints and SAS Overload of SAS-CBSD Protocol in the CBRS Band,3
heartbeat,heartbeat,heartbeat,A Study of Timing Constraints and SAS Overload of SAS-CBSD Protocol in the CBRS Band,3
interval,interval,interval,A Study of Timing Constraints and SAS Overload of SAS-CBSD Protocol in the CBRS Band,3
mean,mean,mean,A Study of Timing Constraints and SAS Overload of SAS-CBSD Protocol in the CBRS Band,3
cbsd:0:duration,duration cbsd,duration of CBSDs ,A Study of Timing Constraints and SAS Overload of SAS-CBSD Protocol in the CBRS Band,3
duration,duration,duration,A Study of Timing Constraints and SAS Overload of SAS-CBSD Protocol in the CBRS Band,3
s,s,s,A Study of Timing Constraints and SAS Overload of SAS-CBSD Protocol in the CBRS Band,3
channel:0:vacate,vacate channel,vacating a channel ,A Study of Timing Constraints and SAS Overload of SAS-CBSD Protocol in the CBRS Band,3
sas:1:service:0:rate,rate sas service,SAS service rate ,A Study of Timing Constraints and SAS Overload of SAS-CBSD Protocol in the CBRS Band,4
request,request,requests,A Study of Timing Constraints and SAS Overload of SAS-CBSD Protocol in the CBRS Band,4
sec,sec,sec,A Study of Timing Constraints and SAS Overload of SAS-CBSD Protocol in the CBRS Band,8
fail:0:grant:1:number,grant number fail,number of failed grants ,A Study of Timing Constraints and SAS Overload of SAS-CBSD Protocol in the CBRS Band,2
fail:0:grant,grant fail,failed grants ,A Study of Timing Constraints and SAS Overload of SAS-CBSD Protocol in the CBRS Band,2
grant,grant,grants,A Study of Timing Constraints and SAS Overload of SAS-CBSD Protocol in the CBRS Band,2
cbsd:0:number,number cbsd,Number of CBSD ,A Study of Timing Constraints and SAS Overload of SAS-CBSD Protocol in the CBRS Band,7
heartbeat:0:timeout:1:number,timeout heartbeat number,number of Heartbeat timeout ,A Study of Timing Constraints and SAS Overload of SAS-CBSD Protocol in the CBRS Band,2
heartbeat:0:timeout,timeout heartbeat,Heartbeat timeout ,A Study of Timing Constraints and SAS Overload of SAS-CBSD Protocol in the CBRS Band,2
timeout,timeout,timeout,A Study of Timing Constraints and SAS Overload of SAS-CBSD Protocol in the CBRS Band,2
ghz,ghz,GHz,A Study of Timing Constraints and SAS Overload of SAS-CBSD Protocol in the CBRS Band,3
timing:0:constraints:1:study,constraints timing study,Study of Timing Constraints and ,A Study of Timing Constraints and SAS Overload of SAS-CBSD Protocol in the CBRS Band,2
information:0:technology,technology information,Information Technology,A Study of Timing Constraints and SAS Overload of SAS-CBSD Protocol in the CBRS Band,4
information,information,Information,A Study of Timing Constraints and SAS Overload of SAS-CBSD Protocol in the CBRS Band,2
technology,technology,Technology,A Study of Timing Constraints and SAS Overload of SAS-CBSD Protocol in the CBRS Band,2
research:0:work,work research,research work ,Performance Study of a GAA-GAA Coexistence Scheme in the CBRS Band,2
work,work,work,Performance Study of a GAA-GAA Coexistence Scheme in the CBRS Band,3
band,band,band,Performance Study of a GAA-GAA Coexistence Scheme in the CBRS Band,4
gaa:0:gaa:1:coexistence:2:performance:0:study,coexistence performance study gaa,performance study of GAA-GAA coexistence ,Performance Study of a GAA-GAA Coexistence Scheme in the CBRS Band,2
gaa:0:gaa:1:coexistence,coexistence gaa,GAA-GAA coexistence ,Performance Study of a GAA-GAA Coexistence Scheme in the CBRS Band,2
coexistence,coexistence,coexistence,Performance Study of a GAA-GAA Coexistence Scheme in the CBRS Band,2
performance,performance,performance,Performance Study of a GAA-GAA Coexistence Scheme in the CBRS Band,2
study,study,studies,Performance Study of a GAA-GAA Coexistence Scheme in the CBRS Band,6
commercial:0:operation:1:standard:2:develop,commercial standard develop operation,developed standards for commercial operations ,Performance Study of a GAA-GAA Coexistence Scheme in the CBRS Band,3
approach,approach,approaches,Performance Study of a GAA-GAA Coexistence Scheme in the CBRS Band,6
archive:0:dataset,archive dataset,dataset archived here,Performance Study of a GAA-GAA Coexistence Scheme in the CBRS Band,2
archive,archive,archived,Performance Study of a GAA-GAA Coexistence Scheme in the CBRS Band,2
study:0:result,result study,results of this study ,Performance Study of a GAA-GAA Coexistence Scheme in the CBRS Band,2
consider,consider,considered,Performance Study of a GAA-GAA Coexistence Scheme in the CBRS Band,3
configuration,configuration,configurations,Performance Study of a GAA-GAA Coexistence Scheme in the CBRS Band,2
geographical:0:location,location geographical,geographical locations,Performance Study of a GAA-GAA Coexistence Scheme in the CBRS Band,3
choose,choose,chose,Performance Study of a GAA-GAA Coexistence Scheme in the CBRS Band,2
deployment:0:scenario,deployment scenario,deployment scenario ,Performance Study of a GAA-GAA Coexistence Scheme in the CBRS Band,2
deployment,deployment,deployment,Performance Study of a GAA-GAA Coexistence Scheme in the CBRS Band,2
cbsds:1:cbrs:0:device,cbsds device cbrs,CBRS devices (CBSDs,Performance Study of a GAA-GAA Coexistence Scheme in the CBRS Band,4
cbrs:0:device,device cbrs,CBRS devices ,Performance Study of a GAA-GAA Coexistence Scheme in the CBRS Band,2
category:0:choose,category choose,chosen to be Category A ,Performance Study of a GAA-GAA Coexistence Scheme in the CBRS Band,2
category,category,Category,Performance Study of a GAA-GAA Coexistence Scheme in the CBRS Band,2
cbsd,cbsd,CBSDs,Performance Study of a GAA-GAA Coexistence Scheme in the CBRS Band,2
hybrid:0:itm:1:model,itm model hybrid,ITM and Hybrid models ,Performance Study of a GAA-GAA Coexistence Scheme in the CBRS Band,2
model,model,models,Performance Study of a GAA-GAA Coexistence Scheme in the CBRS Band,2
propagation:0:model,propagation model,propagation models,Performance Study of a GAA-GAA Coexistence Scheme in the CBRS Band,3
evaluation,evaluation,evaluation,Performance Study of a GAA-GAA Coexistence Scheme in the CBRS Band,4
coexistence:0:cbrs:1:ghz,coexistence ghz cbrs,35 GHz CBRS Coexistence,Performance Study of a GAA-GAA Coexistence Scheme in the CBRS Band,2
ghz,ghz,GHz,Performance Study of a GAA-GAA Coexistence Scheme in the CBRS Band,3
network,network,Networking,Performance Study of a GAA-GAA Coexistence Scheme in the CBRS Band,4
pressure,pressure,pressure,"Data for ""Targeted Chemical Pressure Yields Tunable Millimeter-Wave Dielectric """,4
datum,datum,data,"Data for ""Targeted Chemical Pressure Yields Tunable Millimeter-Wave Dielectric """,2
figure,figure,figures,"Data for ""Targeted Chemical Pressure Yields Tunable Millimeter-Wave Dielectric """,3
property,property,property,"Data for ""Targeted Chemical Pressure Yields Tunable Millimeter-Wave Dielectric """,3
lattice:0:relaxation,lattice relaxation,lattice relaxation ,"Data for ""Targeted Chemical Pressure Yields Tunable Millimeter-Wave Dielectric """,2
film,film,film,"Data for ""Targeted Chemical Pressure Yields Tunable Millimeter-Wave Dielectric """,5
substrate:0:choice,choice substrate,substrate choice ,"Data for ""Targeted Chemical Pressure Yields Tunable Millimeter-Wave Dielectric """,2
material,material,materials,"Data for ""Targeted Chemical Pressure Yields Tunable Millimeter-Wave Dielectric """,14
epitaxial:0:strain,strain epitaxial,Epitaxial strain ,"Data for ""Targeted Chemical Pressure Yields Tunable Millimeter-Wave Dielectric """,2
strain,strain,strain,"Data for ""Targeted Chemical Pressure Yields Tunable Millimeter-Wave Dielectric """,4
enhanced:0:property:1:unlock,unlock property enhanced,unlock enhanced properties ,"Data for ""Targeted Chemical Pressure Yields Tunable Millimeter-Wave Dielectric """,2
today,today,today,"Data for ""Targeted Chemical Pressure Yields Tunable Millimeter-Wave Dielectric """,2
millimeter:0:wave,millimeter wave,millimeter-wave ,"Data for ""Targeted Chemical Pressure Yields Tunable Millimeter-Wave Dielectric """,4
millimeter,millimeter,millimeter,"Data for ""Targeted Chemical Pressure Yields Tunable Millimeter-Wave Dielectric """,4
wave,wave,wave,"Data for ""Targeted Chemical Pressure Yields Tunable Millimeter-Wave Dielectric """,9
tunable:0:dielectric,tunable dielectric,tunable dielectrics ,"Data for ""Targeted Chemical Pressure Yields Tunable Millimeter-Wave Dielectric """,2
dielectric,dielectric,dielectric,"Data for ""Targeted Chemical Pressure Yields Tunable Millimeter-Wave Dielectric """,2
barium:1:strategic:0:introduction,barium strategic introduction,strategic introduction of barium ,"Data for ""Targeted Chemical Pressure Yields Tunable Millimeter-Wave Dielectric """,2
barium,barium,barium,"Data for ""Targeted Chemical Pressure Yields Tunable Millimeter-Wave Dielectric """,4
target:1:chemical:0:pressure:2:provide,chemical provide target pressure,providing targeted chemical pressure,"Data for ""Targeted Chemical Pressure Yields Tunable Millimeter-Wave Dielectric """,2
chemical:0:pressure,pressure chemical,chemical pressure,"Data for ""Targeted Chemical Pressure Yields Tunable Millimeter-Wave Dielectric """,3
chemical,chemical,chemical,"Data for ""Targeted Chemical Pressure Yields Tunable Millimeter-Wave Dielectric """,2
epitaxial:0:strain:1:chemical:0:alternative,alternative strain epitaxial chemical,chemical alternative to epitaxial strain ,"Data for ""Targeted Chemical Pressure Yields Tunable Millimeter-Wave Dielectric """,2
frequency,frequency,frequencies,"Data for ""Targeted Chemical Pressure Yields Tunable Millimeter-Wave Dielectric """,7
low:0:loss,low loss,low-loss ,"Data for ""Targeted Chemical Pressure Yields Tunable Millimeter-Wave Dielectric """,4
loss,loss,loss,"Data for ""Targeted Chemical Pressure Yields Tunable Millimeter-Wave Dielectric """,6
result,result,results,"Data for ""Targeted Chemical Pressure Yields Tunable Millimeter-Wave Dielectric """,2
merit:0:figure,merit figure,figure of merit ,"Data for ""Targeted Chemical Pressure Yields Tunable Millimeter-Wave Dielectric """,2
low:0:epitaxial:1:strain,strain low epitaxial,lower epitaxial strain ,"Data for ""Targeted Chemical Pressure Yields Tunable Millimeter-Wave Dielectric """,2
atomically:0:engineer:1:superlattice:0:material,atomically material engineer superlattice,atomically-engineered superlattice material ,"Data for ""Targeted Chemical Pressure Yields Tunable Millimeter-Wave Dielectric """,2
engineer,engineer,engineered,"Data for ""Targeted Chemical Pressure Yields Tunable Millimeter-Wave Dielectric """,2
superlattice:0:material,superlattice material,superlattice material,"Data for ""Targeted Chemical Pressure Yields Tunable Millimeter-Wave Dielectric """,2
superlattice,superlattice,superlattice,"Data for ""Targeted Chemical Pressure Yields Tunable Millimeter-Wave Dielectric """,2
low:0:loss:1:enable,low enable loss,enables low-loss ,"Data for ""Targeted Chemical Pressure Yields Tunable Millimeter-Wave Dielectric """,4
barium:0:contain:2:ruddlesden:0:popper:1:titanate,barium titanate popper ruddlesden contain,barium-containing Ruddlesden-Popper titanates ,"Data for ""Targeted Chemical Pressure Yields Tunable Millimeter-Wave Dielectric """,2
